Músicas,Álbuns,Artistas,Data de Lançamento,ISRC,Rank,Track Score,Explicit Track
Danza Kuduro - Cover,YOUGAKU MORIMORI CLUB MEDLEY,MUSIC LAB JPN,4/29/2024,TCJPA2420090,59,190.0,1
Unholy (feat. Kim Petras),Unholy (feat. Kim Petras),Sam Smith,9/22/2022,GBUM72205415,60,189.1,0
Stereo Love - Melodic,Stereo Love Deluxe (feat. Vika Jigulina),Edward Maya,6/5/2024,ROCMA2413380,61,187.9,0
Very Cute Melody by Marimba Tone (39813),Very Cute Melody by Marimba Tone (39813),mitsu sound,12/31/2023,RUA1H2406425,62,186.5,0
Supernova,Supernova,aespa,5/13/2024,KRA302400090,63,186.1,0
Me Porto Bonito,Un Verano Sin Ti,Bad Bunny,5/6/2022,QM6MZ2214877,64,184.8,1
Back That Azz Up (feat. Lil Wayne & Mannie Fresh),400 Degreez (Deluxe Edition),JUVENILE,3/29/2024,USCM52400059,65,181.4,1
Calm Down,Calm Down,Rema,2/10/2022,NGA3B2214004,66,180.1,0
CARNIVAL,CARNIVAL,ýý$,2/8/2024,QZ7XS2400012,67,179.6,1
Kill Bill,SOS,SZA,12/8/2022,USRC12204584,68,177.7,0
"What Was I Made For? [From The Motion Picture ""Barbie""]","What Was I Made For? (From The Motion Picture ""Barbie"")",Billie Eilish,7/13/2023,USUM72307484,69,177.6,0
Babba,Black Book ID's: Chapter 5 - EP,Guy Mac,3/3/2023,QZA742305720,70,176.2,0
Heat Waves,Heat Waves,Glass Animals,6/29/2020,GBUM72000433,71,175.0,0
In the End,Papercuts,Linkin Park,4/12/2024,USWB11201322,72,174.8,0
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap,1/11/2023,UYB282301031,73,174.3,0
The Way We Move - Extended Mix,The Way We Move,PowerDress,3/10/2023,UKACT2330463,74,173.6,0
Old Town Road,Old Town Road,Lil Nas X,3/14/2019,USSM11901941,75,170.3,0
un x100to,un x100to,Grupo Frontera,4/17/2023,QM6N22311285,76,170.2,0
Laxed ï¿½ï¿½ï¿½ Sire,Laxed (Siren Beat),Jawsh 685,4/24/2020,NZAM02001128,77,168.9,0
Sprinter,Sprinter - Single,Dave,6/1/2023,GBUM72305159,78,168.1,1
CHIHIRO,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,USUM72401988,79,167.8,0
TQG,TQG,KAROL G,2/23/2023,USUM72222541,80,167.8,1
Perfect,ýý (Deluxe),Ed Sheeran,3/3/2017,GBAHS1700024,81,167.5,0
Pepas,Pepas,Farruko,6/24/2021,USSD12100307,82,167.3,1
Peekaboo,Glide - Single,Dave Angel,1/27/2023,GBLTF2300027,83,167.2,0
Ella Baila Sola,Ella Baila Sola,Eslabon Armado,3/16/2023,USE7D2300007,84,166.5,0
Dance The Night - From Barbie The Album,Dance The Night (From Barbie The Album),Dua Lipa,5/25/2023,USAT22305457,85,166.2,0
La Bebe - Remix,La Bebe (Remix),Yng Lvcas,3/17/2023,MXF152300159,86,164.9,1
redrum,american dream,21 Savage,1/12/2024,USSM12309164,87,164.8,1
Easy On Me,Easy On Me,Adele,10/14/2021,USSM12105970,88,163.2,0
Titï¿½ï¿½ Me Pregu,Un Verano Sin Ti,Bad Bunny,5/6/2022,QM6MZ2214878,89,163.1,1
All My Life (feat. J. Cole),All My Life (feat. J. Cole),Lil Durk,5/12/2023,USQX92302957,90,162.0,1
Anti-Hero,Midnights,Taylor Swift,10/21/2022,USUG12205736,91,161.8,0
"Quevedo: Bzrp Music Sessions, Vol. 52","Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,7/6/2022,UYB282201028,92,161.7,0
Magnetic,SUPER REAL ME,ILLIT,3/25/2024,USA2P2413259,93,161.0,0
Lollipop,EVERYBODY GO TO THE DISCOTEK,Darell,7/28/2023,USSD12300307,94,158.2,1
La Diabla,La Diabla - Single,Xavi,12/2/2023,USA2P2357356,95,155.9,0
Boy's a Liar Pt. 2,Boy's a liar Pt. 2,PinkPantheress,2/3/2023,GBAYE2300015,96,153.6,1
Snooze,SOS,SZA,12/9/2022,USRC12204591,97,153.3,1
BELLAKEO,BELLAKEO,Peso Pluma,12/7/2023,QMFMF2388143,98,153.1,1
Agora Hills,Scarlet,Doja Cat,9/22/2023,USRC12301954,99,152.8,1
Prada,Prada,cassï¿,8/11/2023,GBCEN2300147,100,152.5,1
Montagem Rave Eterno,Montagem Rave Eterno,Dj Samir,5/2/2024,GXD7G2413058,101,152.3,0
Lil Boo Thang,Lil Boo Thang,Paul Russell,8/18/2023,USAR12300323,102,152.1,0
MONACO,nadie sabe lo que va a pasar maï¿½ï¿,Bad Bunny,10/13/2023,QMFME2364182,103,150.7,1
Laxed (Siren Beat),Laxed (Siren Beat),Jawsh 685,4/24/2020,USSM12002399,104,150.5,0
(It Goes Like) Nanana - Edit,(It Goes Like) Nanana [Edit],Peggy Gou,6/15/2023,GBBKS2300080,105,150.4,0
Training Season,Training Season,Dua Lipa,2/15/2024,GBAHT2301078,106,148.9,0
Type Shit,WE DON'T TRUST YOU,Future,3/22/2024,USSM12402033,107,148.1,1
Armageddon,Armageddon - The 1st Album,aespa,5/27/2024,KRA302400093,108,147.4,0
The Box,Please Excuse Me For Being Antisocial,Roddy Ricch,12/6/2019,USAT21906978,109,146.6,1
INDUSTRY BABY (feat. Jack Harlow),INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,7/23/2021,USSM12104539,110,145.3,1
Pedro,Pedro - Single,Jaxomy,3/29/2024,DEE862400427,111,144.6,0
Fast Car,Gettin' Old,Luke Combs,3/24/2023,US6XF2200436,112,144.5,0
Bling-Bang-Bang-Born,Bling-Bang-Bang-Born,Creepy Nuts,1/7/2024,JPU902305042,113,144.0,0
Aesthetic,Aesthetic,Tollan Kim,3/4/2022,SGB502208576,114,144.0,0
Sunflower - Spider-Man: Into the Spider-Verse,Sunflower (Spider-Man: Into the Spider-Verse),Post Malone,10/18/2018,USUM71814888,116,143.9,0
Hands,Hands,Dianï¿½,8/1/2022,GBKPL2205333,115,143.9,0
Saturn,Saturn - Single,SZA,2/24/2024,USRC12400216,117,142.8,0
Chegou a Hora de Ir para Cama (Playback),3 Palavrinhas Vol.9 (Playback),3 Palavrinhas,6/4/2024,BXT622400190,118,142.4,0
Believer,Believer,Imagine Dragons,1/31/2017,USUM71700626,119,142.2,0
WAIT FOR U (feat. Drake & Tems),WAIT FOR U (feat. Drake & Tems),Future,4/27/2022,USSM12203789,120,141.0,1
I KNOW ?,UTOPIA,Travis Scott,7/28/2023,USSM12305012,121,139.5,1
ANDO,ANDO,Jere Klein,9/27/2023,QMDA72363047,122,139.0,1
First Class,First Class,Jack Harlow,4/8/2022,USAT22203024,123,138.6,1
FE!N,UTOPIA,Travis Scott,7/28/2023,USSM12305010,124,137.8,1
Save Your Tears - Live,After Hours (Live At SoFi Stadium),The Weeknd,3/3/2023,USUG12301493,125,137.7,1
Losing Interest - Original Mix,Losing Interest (Original),Goovex,6/10/2024,CA5KR2465999,126,136.4,0
I Ain't Worried,"I Ainï¿½ï¿½ï¿½t Worried (Music From The Motion Pi""Top Gun: Maverick"")",OneRepublic,5/13/2022,USUM72206227,127,136.2,0
MI EX TENï¿½ï¿½A RA,MAï¿½ï¿½ANA SERï¿½ï¿½ BONITO (BICHOTA,KAROL G,8/10/2023,USUG12305253,128,136.2,0
Drained of Color,Drained of Color,Exhumed,8/30/2022,US2642250302,129,134.0,0
Mood (feat. iann dior),Mood (feat. Iann Dior),24kGoldn,7/24/2020,USQX92003025,130,133.0,1
Dynamite,Dynamite,BTS,8/21/2020,QM7282022872,131,132.3,0
Looking Like a Wow End of Year 2023,Looking Like a Wow,WasteLand,12/10/2023,GXBAV2381801,132,130.7,0
Someone You Loved,Breach,Lewis Capaldi,11/8/2018,DEUM71807062,133,129.7,0
Acrï¿½ï¿½s,Acrï¿½ï¿½stico - Si,Shakira,5/11/2023,USQX92302824,134,129.6,0
Made You Look,Takin' It Back,Meghan Trainor,10/21/2022,USSM12204574,135,129.5,0
PHONK BRASILEIRO FRESCO (Slowed + Reverb),PHONK BRASILEIRO FRESCO,DJ MOIGUS,6/22/2023,QZMEQ2306756,136,129.4,0
"Sooseki (From ""Pushpa 2 The Rule"") [TELUGU]","Sooseki (From ""Pushpa 2 The Rule"") [TELUGU]",Shreya Ghoshal,5/29/2024,INS182401602,137,129.1,0
vampire,vampire,Olivia Rodrigo,6/30/2023,USUG12304091,138,128.9,1
Casca de Bala,A Cara das Vaquejadas 3.0,Thullio Milionï¿½ï¿,3/1/2024,BCAEW2400001,139,128.5,0
Back,Back,LOLA,8/3/2022,UKQNV2100272,140,128.0,0
People,People - Single,Libianca,12/5/2022,QZTB52268087,141,127.8,1
Jedag Jedug Capcut 2024,Jedag Jedug Capcut 2024,Afrian Af,1/5/2024,ATR981312465,142,127.4,1
Lady Killers II (Christoph Andersson Remix),Lady Killers II (Christoph Andersson Remix),G-Eazy,3/17/2024,TCAIA2495220,143,127.3,1
I Don't Wanna Wait,I Don't Wanna Wait,David Guetta,4/5/2024,UKWLG2400013,144,126.9,0
Abc,Abc,J Ross,2/14/2023,CLLU22300585,145,126.6,0
La Bachata,La Bachata,Manuel Turizo,5/26/2022,QZDYA1800087,146,126.2,0
ýýýýýýýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýýýýýýýý,FLI:P,4/7/2023,FRX282306294,147,125.4,0
Peaches (feat. Daniel Caesar & Giveon),Justice,Justin Bieber,3/19/2021,USUM72102636,148,125.2,1
Don't Start Now,Don't Start Now,Dua Lipa,10/31/2019,GBAHT1901121,149,124.6,0
Lucid Dreams,Lucid Dreams,Juice WRLD,5/4/2018,USUG11800685,150,123.9,1
PROVENZA,PROVENZA,KAROL G,4/22/2022,USUM72205906,151,123.8,0
WAP (feat. Megan Thee Stallion),WAP (feat. Megan Thee Stallion),Cardi B,8/7/2020,USAT22005111,152,123.4,1
SPOT!,SPOT!,ZICO,4/26/2024,USA2P2421932,153,122.8,0
Family Matters,Family Matters,Drake,5/3/2024,USUG12402984,154,122.7,1
Again,Missing,Kurochuu,6/9/2024,CA5KR2466577,155,122.5,0
Seven (feat. Latto) (Explicit Ver.),Seven (feat. Latto),Jung Kook,7/14/2023,USA2P2330093,156,122.4,1
Last Night,3 Songs At A Time Sampler,Morgan Wallen,1/31/2023,USUG12300802,157,121.9,1
Too Sweet,Unreal Unearth: Unheard,Hozier,3/22/2024,IEACJ2300335,158,121.2,0
Bad Habits,#NAME?,Ed Sheeran,1/1/2020,GBAHS2100318,159,120.8,0
QLONA,MAï¿½ï¿½ANA SERï¿½ï¿½ BONITO (BICHOTA,KAROL G,8/10/2023,USUG12305257,160,120.7,1
Leave The Door Open,Leave The Door Open,Bruno Mars,3/5/2021,USAT22100906,161,120.1,0
ýýýýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýý 3ýýýýýý ýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýý(ýýýýýýýýýýýýýýý),1/5/2022,JPKI02118106,162,119.5,0
good 4 u,good 4 u,Olivia Rodrigo,5/14/2021,USUG12101245,163,117.8,1
bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,3/29/2019,USUM71900764,164,117.7,0
Seï¿½ï¿½o,Shawn Mendes (Deluxe),Shawn Mendes,5/25/2018,USUM71911283,165,117.6,0
DESPECHï¿,DESPECHï¿,ROSALï¿½,7/28/2022,USSM12207207,166,116.9,1
ROCKSTAR (feat. Roddy Ricch),BLAME IT ON BABY,DaBaby,4/17/2020,USUM72007941,167,116.7,1
Eyes Closed,Eyes Closed (Piano Version),Ed Sheeran,3/23/2023,GBAHS2201304,168,116.6,0
I Remember Everything (feat. Kacey Musgraves),I Remember Everything (feat. Kacey Musgraves),Zach Bryan,8/24/2023,USWB12304903,169,116.5,0
Circles,Circles,Post Malone,8/30/2019,USUM71915699,170,116.0,0
EL AMOR DE SU VIDA,EL AMOR DE SU VIDA,Grupo Frontera,8/3/2023,DGA062382895,171,115.9,0
About Damn Time,About Damn Time,Lizzo,4/14/2022,USAT22202139,172,115.6,1
Closer,Closer,The Chainsmokers,7/29/2016,USQX91601347,173,114.6,0
FLOWER,ME,JISOO,3/31/2023,KRA402300002,174,114.3,0
PERRO NEGRO,nadie sabe lo que va a pasar maï¿½ï¿,Bad Bunny,10/13/2023,QMFME2364199,175,114.2,1
Rich Baby Daddy (feat. Sexyy Red & SZA),For All The Dogs,Drake,10/6/2023,USUG12306085,176,113.2,1
Havana (feat. Young Thug),Havana,Camila Cabello,8/3/2017,USSM11706905,177,112.8,0
LUNA,FERXXOCALIPSIS,Feid,12/1/2023,USUM72318216,178,112.6,0
I Like You (A Happier Song) (with Doja Cat),Twelve Carat Toothache,Post Malone,6/3/2022,USUM72208023,179,112.5,1
Bones,Bones,Imagine Dragons,3/11/2022,USUM72201759,180,112.0,0
Segï¿½ï¿½n Qu,Segï¿½ï¿½n Qu,Maluma,8/17/2023,USSD12300400,182,111.8,1
Selfish,Selfish,Justin Timberlake,1/25/2024,USRC12400001,181,111.8,0
golden hour,golden hour,JVKE,7/15/2022,GBKPL2204171,183,111.4,0
Levitating (feat. DaBaby),Future Nostalgia,Dua Lipa,3/27/2020,GBAHT2000942,184,111.3,0
Get It Sexyy,Get It Sexyy,Sexyy Red,3/15/2024,QZSYP2454435,185,111.1,1
"This Wish - From ""Wish""","This Wish (From ""Wish"")",Ariana DeBose,10/18/2023,USWD12328242,186,110.9,0
IDGAF (feat. Yeat),For All The Dogs,Drake,10/6/2023,USUG12306072,187,110.8,1
Ojitos Lindos,Un Verano Sin Ti,Bad Bunny,5/6/2022,QM6MZ2214888,188,110.7,0
Life Is Good (feat. Drake),Life Is Good (feat. Drake),Future,1/10/2020,USSM11914962,189,110.2,1
Escapism.,Escapism. / The Thrill Is Gone.,RAYE,10/12/2022,QMDA62217995,190,110.1,1
Stargazing,Stargazing,Myles Smith,5/10/2024,GBARL2400510,191,109.8,0
Jimmy Cooks (feat. 21 Savage),"Honestly, Nevermind",Drake,6/17/2022,USUG12204897,192,109.7,1
What You Know Bout Love,Shoot For The Stars Aim For The Moon,Pop Smoke,7/3/2020,USUM72013339,193,109.5,1
Memories,Memories,Maroon 5,9/20/2019,USUM71913350,194,109.3,0
Classy 101,Classy 101,Feid,3/31/2023,USUM72304895,195,109.1,1
Whatever,Whatever,Kygo,1/19/2024,USRC12302637,196,109.0,0
Whatever She Wants,Whatever She Wants,Bryson Tiller,2/13/2024,USRC12400299,197,108.4,1
Vois sur ton chemin - Techno Mix,Vois sur ton chemin (Techno Mix),BENNETT,8/4/2023,DEA622301801,198,107.8,0
"yes, and?","yes, and?",Ariana Grande,1/12/2024,USUM72400048,199,107.5,1
Without Me,Without Me,Halsey,10/4/2018,USUM71813499,200,107.4,1
meet the grahams,meet the grahams,Kendrick Lamar,5/3/2024,USUG12400909,201,107.3,1
First Person Shooter (feat. J. Cole),For All The Dogs,Drake,10/6/2023,USUG12306071,202,107.1,1
Shallow,Shallow,Lady Gaga,9/27/2018,USUM71813192,204,106.9,0
Thunder,Thunder,Imagine Dragons,4/27/2017,USUM71704167,203,106.9,0
Rush,Rush,Ayra Starr,9/16/2022,NGA3B2216004,205,106.4,0
abcdefu,abcdefu,GAYLE,8/13/2021,USAT22103652,206,106.2,1
Buga,Buga,Kizz Daniel,5/3/2022,USUYG1425645,208,105.8,0
Bad Habit,Bad Habit,Steve Lacy,6/29/2022,USRC12201440,207,105.8,1
MONEY,LALISA,LISA,9/10/2021,KRA402100099,210,105.5,1
Columbia,Columbia,Quevedo,7/7/2023,BK4DA2310533,209,105.5,0
LADY GAGA,LADY GAGA,Peso Pluma,6/22/2023,QM7282306246,212,105.2,1
Woman,Planet Her,Doja Cat,6/25/2021,USRC12101532,211,105.2,1
CUFF IT,RENAISSANCE,Beyoncï¿,7/29/2022,USSM12206232,213,104.9,1
KING KONG,KING KONG,TREASURE,5/28/2024,KRA402400030,214,104.5,0
How You Like That,How You Like That,BLACKPINK,6/25/2020,KRA402000111,215,104.5,0
Milf Song,Milf Song,The Puddleducks,8/19/2022,QZMEP2285895,216,104.5,0
Nasty,Nasty,Tinashe,4/12/2024,USLD91757578,217,104.4,0
Superhero (Heroes & Villains),HEROES & VILLAINS,Metro Boomin,12/2/2022,USUG12208783,218,104.4,1
Panda,Panda,Desiigner,2/26/2016,USUM71601094,219,104.2,1
Push Ups,Push Ups,Drake,4/19/2024,USUG12402283,220,103.9,1
Tattoo,Tattoo,Loreen,2/25/2023,SEUM72201638,221,103.9,0
Kiss Me More (feat. SZA),Kiss Me More (feat. SZA),Doja Cat,4/9/2021,USRC12100543,222,103.4,1
What It Is (Block Boy) (with Kodak Black),What It Is (Versions),Doechii,3/17/2023,USUG12301757,223,103.3,1
Gata Only,Gata Only - Single,FloyyMenor,12/21/2023,QZNN22329474,224,103.1,0
Illusion,Illusion,Dua Lipa,4/11/2024,GBAHT2400114,225,103.1,1
drivers license,drivers license,Olivia Rodrigo,1/8/2021,USUG12004749,226,102.9,1
Used To Be Young,Endless Summer Vacation,Miley Cyrus,8/18/2023,USSM12306461,227,102.4,0
Cupid - Twin Ver.,The Beginning: Cupid - Single,FIFTY FIFTY,2/24/2023,KSA012239181,229,102.3,0
How Sweet,How Sweet,NewJeans,5/24/2024,USA2P2414843,228,102.3,0
Players,Players,Coi Leray,11/30/2022,USUM72222387,230,101.8,1
rockstar (feat. 21 Savage),rockstar,Post Malone,9/15/2017,USUM71710087,231,101.8,1
Lil Somethin Somethin,Lil Somethin Somethin,Vayah,3/11/2023,QZDA72340256,232,101.5,1
Con Calma,Con Calma,Daddy Yankee,1/24/2019,US2BU1900125,236,101.4,0
Here With Me,Here With Me,d4vd,7/20/2022,QZMEM2209263,234,101.4,0
Favorite Song,Favorite Song,Toosii,2/17/2023,USUM72301797,235,101.4,0
Si No Quieres No,Si No Quieres No - Single,Luis R Conriquez,3/9/2024,US3DF2417042,233,101.4,0
